iter	Logloss
0	0.5742451896
1	0.4830761016
2	0.4002629334
3	0.3394218107
4	0.2919360566
5	0.257129002
6	0.2309300554
7	0.2116026463
8	0.1955832937
9	0.1826123109
10	0.1723457318
11	0.1638138564
12	0.1558486139
13	0.1492176556
14	0.1438853398
15	0.1388434515
16	0.1344657279
17	0.1311358107
18	0.1272304383
19	0.1241353045
20	0.1215023785
21	0.1188904102
22	0.1169502675
23	0.1148502611
24	0.1132752579
25	0.1113729147
26	0.1100327334
27	0.1082677716
28	0.1070935646
29	0.1058549343
30	0.1046804351
31	0.103736494
32	0.1028498887
33	0.1021251525
34	0.1014526694
35	0.1008853046
36	0.100061952
37	0.09954049017
38	0.09892583132
39	0.09841774309
40	0.09788229707
41	0.09735580982
42	0.09688195603
43	0.09643530445
44	0.09596024851
45	0.09555159523
46	0.09520376398
47	0.09481996557
48	0.09440237022
49	0.09396237649
50	0.09357621118
51	0.0932415186
52	0.09286157689
53	0.09238081404
54	0.09209910117
55	0.09182869374
56	0.09146493818
57	0.09117309426
58	0.09087575115
59	0.09060712698
60	0.09034235436
61	0.09002446201
62	0.08974608432
63	0.08944362266
64	0.08914268446
65	0.08886013722
66	0.08858351599
67	0.08831469543
68	0.08796908021
69	0.08778783116
70	0.08746979546
71	0.08714910848
72	0.08692975986
73	0.08666181005
74	0.08639764153
75	0.08620308213
76	0.08596306722
77	0.08576453494
78	0.08554472391
79	0.08527183793
80	0.08505973152
81	0.08484532671
82	0.08463949117
83	0.0844515279
84	0.08425934137
85	0.08406476775
86	0.0838688791
